date,Property24,Private Property,Remax Hub,Houses for Sale,Flats to rent,Room to rent,The Parks Lifestyle Apartments,Eazi Real Estate,Property sales,Real Estate
2020-04-22,12,19,0,64,13,35,0,0,0,33
2020-04-23,11,19,0,54,14,30,0,0,0,31
2020-04-24,11,18,0,59,16,36,0,0,0,41
2020-04-25,10,20,0,74,13,41,0,0,0,39
2020-04-26,13,24,0,79,17,43,0,0,24,40
2020-04-27,12,27,0,75,15,36,0,0,0,41
2020-04-28,12,23,0,68,13,42,0,0,0,39
2020-04-29,11,17,0,54,13,29,0,0,0,30
2020-04-30,9,18,0,56,12,46,0,0,0,38
2020-05-01,11,22,0,61,15,49,0,0,0,39
2020-05-02,11,19,0,73,12,41,0,0,0,26
2020-05-03,11,20,0,64,16,26,0,0,0,46
2020-05-04,10,17,0,60,12,44,0,0,0,32
2020-05-05,11,22,0,56,15,39,0,0,0,47
2020-05-06,9,21,0,60,14,24,0,0,0,32
2020-05-07,12,19,0,56,11,38,0,0,0,32
2020-05-08,12,23,0,64,14,28,0,0,0,49
2020-05-09,12,24,0,70,13,32,0,0,0,26
2020-05-10,10,23,0,71,17,37,0,0,0,29
2020-05-11,12,24,0,62,17,52,0,0,0,39
2020-05-12,15,25,0,67,18,46,0,0,0,25
2020-05-13,11,22,0,62,13,36,0,0,0,35
2020-05-14,13,25,0,70,14,60,0,0,0,36
2020-05-15,10,24,0,65,14,45,0,0,0,38
2020-05-16,10,29,0,86,16,57,0,0,0,39
2020-05-17,16,28,0,79,17,58,0,0,0,51
2020-05-18,14,28,0,70,19,63,0,0,0,49
2020-05-19,15,24,0,74,19,46,0,0,0,30
