date,Takealot.com,Mr Price Home,Decofurn,furniture,Makro,Builders,paints,Defy Appliances,Pep Home,plant
2019-08-30,0,8,5,48,15,58,13,0,16,36
2019-08-31,0,7,6,48,15,63,0,0,0,36
2019-09-01,0,10,5,46,15,65,0,0,0,46
2019-09-02,0,10,5,41,15,48,0,0,0,38
2019-09-03,0,8,4,40,12,60,16,0,0,31
2019-09-04,0,5,3,58,14,54,13,0,0,39
2019-09-05,0,6,3,57,15,58,16,0,0,28
2019-09-06,0,8,3,62,15,50,14,0,0,38
2019-09-07,0,8,6,49,21,61,0,0,0,34
2019-09-08,0,7,4,48,15,66,0,0,0,56
2019-09-09,0,8,4,51,15,56,23,0,0,50
2019-09-10,0,6,3,40,15,69,15,0,0,34
2019-09-11,0,6,4,44,13,55,19,0,0,37
2019-09-12,0,8,4,46,16,68,17,0,0,39
2019-09-13,0,7,3,47,15,51,0,0,0,36
2019-09-14,0,8,6,51,17,63,0,0,0,45
2019-09-15,0,7,4,51,14,55,0,0,0,66
2019-09-16,0,8,3,45,14,67,17,0,0,41
2019-09-17,0,5,3,46,18,47,0,0,0,40
2019-09-18,0,7,0,39,14,57,15,0,0,40
2019-09-19,0,7,3,40,18,65,17,0,0,32
2019-09-20,0,7,4,44,15,60,12,0,0,33
2019-09-21,0,7,4,45,13,56,15,0,0,45
2019-09-22,0,11,6,43,18,81,0,0,0,49
2019-09-23,0,5,6,55,23,72,13,0,0,45
2019-09-24,0,9,3,51,21,75,0,0,0,59
2019-09-25,0,7,4,47,18,64,17,0,0,44
2019-09-26,0,8,4,50,14,61,13,0,0,31
2019-09-27,0,7,7,45,17,65,13,0,0,28
2019-09-28,0,6,5,48,14,86,0,0,0,50
2019-09-29,0,6,4,45,16,81,0,0,0,39
2019-09-30,0,7,4,51,15,42,16,0,0,31
2019-10-01,0,7,5,44,13,58,16,0,0,36
2019-10-02,0,7,5,42,14,54,0,0,0,34
2019-10-03,0,7,3,48,16,53,13,0,0,39
2019-10-04,0,6,5,49,13,56,16,0,0,51
2019-10-05,0,7,5,54,12,56,15,0,0,49
2019-10-06,0,7,8,49,18,84,0,0,0,60
2019-10-07,0,6,4,48,15,72,18,0,0,46
2019-10-08,0,8,4,46,15,63,14,0,0,32
2019-10-09,0,6,4,43,18,70,13,0,0,43
2019-10-10,0,5,5,44,21,65,18,0,0,30
2019-10-11,0,5,6,47,13,60,0,0,0,46
2019-10-12,0,7,0,60,15,69,0,0,0,44
2019-10-13,0,6,6,50,16,59,0,0,0,58
2019-10-14,0,8,3,48,17,56,15,0,0,35
2019-10-15,0,7,4,50,18,63,17,0,0,41
2019-10-16,0,7,3,43,19,50,18,0,0,48
2019-10-17,0,10,3,47,17,68,0,0,0,40
2019-10-18,0,7,5,48,17,65,0,0,0,45
2019-10-19,0,11,4,42,23,70,0,0,0,51
2019-10-20,0,8,4,41,18,54,13,0,0,67
2019-10-21,0,9,0,41,16,71,19,0,0,37
2019-10-22,0,7,0,48,18,68,19,0,0,41
2019-10-23,0,8,5,48,16,58,18,0,0,34
2019-10-24,0,7,4,46,23,61,15,0,0,38
2019-10-25,0,7,5,50,18,57,0,0,0,36
2019-10-26,0,9,6,54,17,52,0,0,0,41
2019-10-27,0,4,0,40,14,55,0,0,0,36
2019-10-28,0,7,5,49,21,59,22,0,0,29
2019-10-29,0,10,3,45,19,67,13,0,0,37
2019-10-30,0,9,5,50,18,50,0,0,0,29
2019-10-31,0,8,6,46,13,42,16,0,0,28
2019-11-01,0,8,0,42,13,37,0,0,0,23
2019-11-02,0,5,5,33,10,34,0,0,0,27
2019-11-03,0,9,5,45,19,69,0,0,0,43
2019-11-04,0,7,4,46,20,60,26,0,0,28
2019-11-05,0,11,4,50,17,50,0,0,0,35
2019-11-06,0,7,5,50,20,48,13,0,0,42
2019-11-07,0,10,6,50,15,68,20,0,0,34
2019-11-08,0,5,3,45,17,51,14,0,0,34
2019-11-09,0,7,7,48,18,78,0,0,0,43
2019-11-10,0,13,6,52,20,51,0,0,0,47
2019-11-11,0,10,5,55,20,51,19,0,0,34
2019-11-12,0,8,4,55,17,66,23,0,0,36
2019-11-13,0,9,3,51,18,64,0,0,0,30
2019-11-14,0,8,5,56,19,60,16,0,0,38
2019-11-15,0,8,5,54,17,67,20,0,0,36
2019-11-16,0,12,0,61,18,78,14,0,0,38
2019-11-17,0,9,5,65,25,58,0,0,0,61
2019-11-18,0,8,5,65,22,68,23,0,0,30
2019-11-19,0,11,7,60,20,70,0,0,0,35
2019-11-20,0,10,4,61,21,78,32,0,0,41
2019-11-21,0,7,6,62,24,60,13,0,0,42
2019-11-22,0,10,7,65,20,60,24,0,0,34
2019-11-23,0,7,6,68,23,76,14,0,0,48
2019-11-24,0,14,6,70,27,97,0,0,0,42
2019-11-25,0,9,9,77,25,71,13,0,0,39
2019-11-26,0,11,8,73,24,65,23,0,0,28
2019-11-27,0,11,8,89,35,81,19,0,0,30
2019-11-28,0,9,8,100,33,84,16,0,0,17
2019-11-29,0,12,11,97,46,85,19,0,0,32
2019-11-30,0,9,4,60,38,100,0,0,0,50
2019-12-01,0,11,7,61,40,81,0,0,0,52
2019-12-02,0,12,9,57,29,68,18,0,0,36
