date,KFC,beverage,McDonalds,Checkers,Woolworths,Pick n Pay,Nandos,Burger King,Debonairs Pizza,Grocery delivery
2020-02-14,40,0,17,8,10,10,77,20,50,0
2020-02-15,36,0,20,6,8,14,48,18,31,0
2020-02-16,28,0,14,6,9,10,43,16,21,0
2020-02-17,17,0,6,4,8,9,32,8,9,0
2020-02-18,26,0,9,3,8,8,34,9,11,0
2020-02-19,18,0,10,5,6,9,33,10,13,0
2020-02-20,25,0,14,4,7,7,38,7,20,0
2020-02-21,33,0,16,6,7,12,51,29,33,0
2020-02-22,34,0,14,7,7,10,52,16,26,0
2020-02-23,27,0,12,6,8,10,44,14,23,0
2020-02-24,20,0,9,5,8,9,37,8,11,0
2020-02-25,45,0,13,6,9,8,49,13,19,0
2020-02-26,30,0,13,5,8,9,51,12,19,0
2020-02-27,31,0,15,4,6,12,58,19,21,0
2020-02-28,47,0,21,8,8,14,79,22,50,0
2020-02-29,43,0,19,6,8,6,57,19,37,0
2020-03-01,35,0,14,5,9,12,56,20,19,0
2020-03-02,22,0,10,4,9,9,34,9,10,0
2020-03-03,34,0,10,3,8,9,38,14,9,0
2020-03-04,24,0,12,5,8,11,36,9,11,0
2020-03-05,21,0,14,5,8,7,41,9,8,0
2020-03-06,36,0,14,6,8,9,55,20,23,0
2020-03-07,30,0,18,7,7,10,52,18,16,0
2020-03-08,30,0,14,5,9,11,40,12,16,0
2020-03-09,17,0,10,4,8,10,32,9,6,0
2020-03-10,32,0,10,3,8,9,39,11,8,0
2020-03-11,21,0,10,4,6,9,35,12,13,0
2020-03-12,22,0,13,5,7,8,39,12,5,0
2020-03-13,38,0,17,6,5,9,61,21,28,0
2020-03-14,35,0,18,6,8,11,54,14,25,0
2020-03-15,28,0,12,4,8,9,31,13,13,0
2020-03-16,18,0,7,4,7,11,32,5,6,0
2020-03-17,24,0,12,5,8,12,28,10,9,0
2020-03-18,24,0,8,5,7,7,64,11,7,0
2020-03-19,23,0,10,4,7,9,65,15,10,0
2020-03-20,29,0,15,6,5,10,60,21,18,0
2020-03-21,31,0,13,9,10,14,51,14,21,0
2020-03-22,25,0,9,5,10,15,33,12,12,0
2020-03-23,15,0,6,5,7,18,34,7,6,4
2020-03-24,30,0,11,10,8,22,41,11,6,6
2020-03-25,36,0,16,12,7,25,60,18,24,0
2020-03-26,46,0,31,11,6,18,100,51,34,0
2020-03-27,12,0,7,6,8,16,30,28,8,8
2020-03-28,7,0,3,8,11,22,18,0,0,11
2020-03-29,10,0,3,7,12,23,11,0,0,11
2020-03-30,6,0,4,7,8,17,11,6,0,12
2020-03-31,6,0,3,7,11,23,7,0,0,8
2020-04-01,7,0,4,8,11,14,12,0,5,6
2020-04-02,5,0,4,5,11,13,9,0,5,0
2020-04-03,7,0,3,5,10,14,12,0,0,4
2020-04-04,5,0,3,6,13,16,8,0,7,7
2020-04-05,4,0,2,6,15,18,11,0,0,0
2020-04-06,5,0,3,7,11,20,6,0,0,0
2020-04-07,6,0,0,6,13,19,5,0,0,6
2020-04-08,5,0,0,5,15,19,6,0,0,0
2020-04-09,7,0,4,7,15,21,14,0,5,0
2020-04-10,7,0,3,10,14,18,9,0,0,6
2020-04-11,6,0,4,7,17,18,8,0,0,0
2020-04-12,10,0,3,9,15,13,9,0,0,0
2020-04-13,6,0,3,6,11,21,8,0,0,0
2020-04-14,6,0,2,5,11,12,10,0,0,5
2020-04-15,4,0,3,5,11,17,9,0,0,0
2020-04-16,5,0,3,6,11,15,9,0,6,0
2020-04-17,6,0,3,6,11,17,9,0,0,0
2020-04-18,7,0,5,8,16,17,11,0,0,0
2020-04-19,10,0,2,7,16,17,7,0,0,0
2020-04-20,5,0,3,4,12,14,12,0,0,0
2020-04-21,4,0,4,6,11,16,9,5,0,0
2020-04-22,6,0,3,5,14,13,11,0,0,0
2020-04-23,6,2,3,5,10,13,10,0,9,0
2020-04-24,5,0,3,6,12,12,9,0,7,0
2020-04-25,7,2,3,6,14,21,19,0,0,0
2020-04-26,10,0,4,7,14,19,17,0,0,0
2020-04-27,7,0,4,8,13,15,14,0,0,0
2020-04-28,7,0,3,6,13,15,13,0,0,0
2020-04-29,6,0,5,6,11,16,13,5,0,0
2020-04-30,11,0,12,6,11,16,22,6,5,0
2020-05-01,100,0,43,7,12,13,76,45,73,0
2020-05-02,88,0,65,5,15,18,55,35,69,0
2020-05-03,51,0,33,7,14,16,32,19,40,0
2020-05-04,46,0,30,5,12,9,43,21,43,0
2020-05-05,46,0,26,7,10,17,45,15,49,0
2020-05-06,39,0,25,5,12,16,44,32,41,0
2020-05-07,35,0,24,6,10,15,39,20,36,0
2020-05-08,39,0,29,6,13,10,38,31,50,0
2020-05-09,44,0,29,6,17,18,40,22,43,0
2020-05-10,29,0,17,7,18,16,48,16,28,5
2020-05-11,20,0,14,6,10,13,26,11,20,0
2020-05-12,23,0,14,5,12,10,27,11,20,0
2020-05-13,22,2,16,5,11,11,34,13,20,0
2020-05-14,23,0,16,5,12,14,37,12,20,0
2020-05-15,40,0,26,6,12,15,60,27,41,0
2020-05-16,37,0,23,6,16,16,62,17,33,0
2020-05-17,25,0,14,6,14,12,33,9,17,0
2020-05-18,16,0,10,5,12,16,24,8,16,0
2020-05-19,20,0,11,5,11,16,34,9,10,0
2020-05-20,22,0,13,4,11,11,38,12,16,0
2020-05-21,21,0,11,6,13,16,38,11,22,0
