date,Hollywoodbets,The Courier Guy,ShopRite,Steers,Betway,Buffalo Logistics,Uber Eats,Bolt,60 sixty,PaymeNow
2020-01-23,0,7,33,30,0,0,0,67,0,0
2020-01-24,0,0,52,42,0,0,0,62,0,0
2020-01-25,0,0,38,33,0,0,0,66,0,0
2020-01-26,0,0,33,33,0,0,0,51,0,0
2020-01-27,0,0,36,18,0,0,0,60,0,0
2020-01-28,0,7,42,21,7,0,0,75,0,0
2020-01-29,0,0,29,69,0,0,0,71,0,0
2020-01-30,0,7,37,22,0,0,0,95,0,0
2020-01-31,0,0,32,53,0,0,0,67,0,0
2020-02-01,0,0,34,40,0,0,0,78,0,0
2020-02-02,0,0,45,39,0,0,0,64,0,0
2020-02-03,0,0,34,21,0,0,0,92,0,0
2020-02-04,0,0,41,23,0,0,0,87,0,0
2020-02-05,0,0,35,74,0,0,0,70,0,0
2020-02-06,0,10,31,36,0,0,0,65,0,0
2020-02-07,0,0,27,41,0,0,0,76,0,0
2020-02-08,0,0,33,37,0,0,0,63,0,0
2020-02-09,0,0,31,26,0,0,0,56,0,0
2020-02-10,0,0,32,20,0,0,0,84,0,0
2020-02-11,0,0,31,24,0,0,0,68,0,0
2020-02-12,0,0,29,65,0,0,0,78,0,0
2020-02-13,0,9,28,21,0,0,0,61,0,0
2020-02-14,0,0,31,41,0,0,0,80,0,0
2020-02-15,0,0,31,36,0,0,0,100,0,0
2020-02-16,0,0,33,33,0,0,0,58,0,0
2020-02-17,0,0,29,23,0,0,0,81,0,0
2020-02-18,0,10,24,17,0,0,0,81,0,0
2020-02-19,0,10,22,60,0,0,0,86,0,0
2020-02-20,0,0,30,32,0,0,0,80,0,0
2020-02-21,0,0,31,46,0,0,0,82,0,0
2020-02-22,0,0,27,45,0,0,0,60,0,0
2020-02-23,0,0,30,29,0,0,0,43,0,0
2020-02-24,0,0,56,22,0,0,0,77,0,0
2020-02-25,0,7,52,42,0,0,0,67,0,0
2020-02-26,0,8,46,84,0,0,0,72,0,0
2020-02-27,0,7,54,36,0,0,0,61,0,0
2020-02-28,0,0,54,58,0,0,0,94,0,0
2020-02-29,0,0,45,49,0,0,0,81,0,0
2020-03-01,0,0,42,40,0,0,0,59,0,0
2020-03-02,0,0,29,33,0,0,0,70,0,0
2020-03-03,0,7,34,25,0,0,0,83,0,0
2020-03-04,0,0,31,91,0,0,0,69,0,0
2020-03-05,0,0,24,25,0,0,0,71,0,0
