date,Kaizer Chiefs,Orlando Pirates,Sundowns,Premier League,Soccer Laduma,FIFA World Cup,Gambling,Tickets,Arsenal Store,Football
2020-04-06,4,2,1,1,2,0,0,0,0,27
2020-04-07,3,2,1,1,2,0,0,0,0,30
2020-04-08,3,2,2,1,2,0,0,0,0,27
2020-04-09,3,2,2,1,2,0,0,0,0,22
2020-04-10,3,2,2,1,2,0,0,0,0,28
2020-04-11,3,1,2,1,2,0,0,0,0,30
2020-04-12,3,2,2,1,2,0,0,0,0,33
2020-04-13,4,2,2,1,2,0,0,3,0,30
2020-04-14,3,2,2,1,2,0,0,0,0,32
2020-04-15,3,2,2,1,2,0,0,0,0,27
2020-04-16,3,1,1,1,2,0,0,0,0,31
2020-04-17,3,2,1,1,2,4,0,0,0,28
2020-04-18,3,2,2,1,2,0,0,0,0,33
2020-04-19,3,2,1,1,2,0,0,0,0,28
2020-04-20,3,2,1,1,2,0,0,0,0,25
2020-04-21,3,2,1,1,2,0,0,0,0,28
2020-04-22,3,2,2,1,2,0,0,0,0,29
2020-04-23,3,1,1,1,2,0,0,3,0,29
2020-04-24,3,1,1,1,2,0,0,0,0,28
2020-04-25,4,2,1,2,2,0,0,4,0,32
2020-04-26,3,1,1,2,2,0,0,0,0,39
2020-04-27,3,2,2,1,2,0,0,0,0,26
2020-04-28,3,2,1,1,2,0,0,4,0,28
2020-04-29,3,1,2,1,2,0,0,0,0,27
2020-04-30,3,1,1,1,2,0,0,0,0,28
2020-05-01,3,2,1,1,2,0,0,4,0,26
2020-05-02,3,2,1,1,2,0,0,5,0,31
2020-05-03,2,1,1,1,1,4,0,0,0,35
2020-05-04,3,2,1,1,2,0,0,3,0,23
2020-05-05,3,2,1,1,2,0,0,3,0,31
2020-05-06,3,1,1,1,2,0,0,4,0,30
2020-05-07,3,2,2,1,2,0,0,4,0,27
2020-05-08,3,2,1,1,2,0,0,0,0,30
2020-05-09,3,1,2,1,2,0,0,0,0,29
2020-05-10,3,2,2,2,2,0,0,0,0,34
2020-05-11,3,1,2,2,2,0,0,0,0,28
2020-05-12,3,1,1,2,2,3,0,3,0,27
2020-05-13,3,2,2,1,2,0,0,0,0,29
2020-05-14,3,1,2,1,2,0,0,0,0,27
2020-05-15,3,1,1,1,2,0,0,0,0,30
2020-05-16,3,2,2,2,2,3,0,3,0,46
2020-05-17,3,1,1,2,2,0,0,0,0,35
2020-05-18,3,2,1,1,2,0,0,0,0,33
2020-05-19,3,1,1,1,2,0,0,0,0,28
