date,Dog Food,Puppies for Sale,Pet shop
2021-04-07,33,39,0
2021-04-08,28,53,0
2021-04-09,35,48,0
2021-04-10,42,61,0
2021-04-11,42,57,0
2021-04-12,43,47,0
2021-04-13,26,44,0
2021-04-14,73,52,0
2021-04-15,59,52,0
2021-04-16,45,47,0
2021-04-17,48,55,0
2021-04-18,32,69,0
2021-04-19,37,48,0
2021-04-20,22,50,0
2021-04-21,31,50,0
2021-04-22,41,47,0
2021-04-23,43,47,0
2021-04-24,43,74,15
2021-04-25,40,50,0
2021-04-26,37,38,0
2021-04-27,39,62,0
2021-04-28,36,44,0
2021-04-29,38,51,0
2021-04-30,40,45,0
2021-05-01,43,40,0
2021-05-02,34,47,0
2021-05-03,38,46,0
2021-05-04,32,40,0
2021-05-05,29,40,0
2021-05-06,39,42,0
2021-05-07,35,38,0
2021-05-08,38,56,0
2021-05-09,36,66,0
2021-05-10,37,42,0
2021-05-11,41,32,0
2021-05-12,25,50,0
2021-05-13,41,35,0
2021-05-14,33,46,0
2021-05-15,26,56,0
2021-05-16,20,70,0
2021-05-17,32,50,0
2021-05-18,28,44,0
2021-05-19,22,45,0
2021-05-20,21,40,0
2021-05-21,29,51,0
2021-05-22,41,67,20
2021-05-23,38,74,0
2021-05-24,41,48,0
2021-05-25,30,48,0
2021-05-26,33,39,0
2021-05-27,27,48,0
2021-05-28,36,38,0
2021-05-29,24,62,17
2021-05-30,57,69,20
2021-05-31,24,49,13
2021-06-01,35,51,0
2021-06-02,39,39,0
2021-06-03,39,35,0
2021-06-04,33,41,0
2021-06-05,39,59,0
2021-06-06,32,61,0
2021-06-07,38,45,0
2021-06-08,34,42,0
2021-06-09,34,48,0
2021-06-10,23,49,0
2021-06-11,26,44,0
2021-06-12,27,61,0
2021-06-13,49,64,0
2021-06-14,24,52,0
2021-06-15,27,44,12
2021-06-16,38,61,0
2021-06-17,31,44,0
2021-06-18,27,43,0
2021-06-19,29,54,0
2021-06-20,33,56,0
2021-06-21,35,54,0
2021-06-22,39,43,0
2021-06-23,46,52,0
2021-06-24,31,33,0
