date,DStv Stream,Download,Mr Price,Makro,Microsoft,Apple,Samsung,computer,laptop,monitor stand
2023-01-29,0,62,25,19,7,27,50,12,43,0
2023-01-30,0,55,23,17,11,22,47,14,47,0
2023-01-31,0,59,22,15,9,28,47,19,49,0
2023-02-01,0,61,22,14,9,24,52,22,97,0
2023-02-02,0,58,21,17,11,22,69,17,55,0
2023-02-03,0,68,23,14,9,23,60,15,50,0
2023-02-04,0,66,23,15,6,23,57,8,48,0
2023-02-05,0,63,22,15,6,25,54,12,43,0
2023-02-06,0,68,23,17,9,24,57,19,49,0
2023-02-07,0,68,21,15,10,21,56,15,51,0
2023-02-08,0,70,20,15,12,21,50,15,51,0
2023-02-09,0,70,18,15,10,22,48,18,54,0
2023-02-10,0,63,18,14,8,26,50,14,49,0
2023-02-11,0,59,19,13,6,23,52,12,45,0
2023-02-12,0,63,19,15,6,24,51,10,44,0
2023-02-13,0,68,20,15,11,24,51,25,100,0
2023-02-14,0,64,15,14,10,22,48,16,57,0
2023-02-15,0,67,16,14,12,23,50,16,46,0
2023-02-16,0,70,19,14,9,21,50,18,51,0
2023-02-17,0,69,17,13,9,21,52,16,47,0
2023-02-18,0,64,17,14,6,20,50,16,49,0
2023-02-19,0,63,17,15,7,23,50,13,45,0
2023-02-20,0,64,17,16,10,21,51,18,52,0
2023-02-21,0,71,18,16,13,20,50,17,54,0
2023-02-22,0,71,18,16,11,20,50,21,52,0
2023-02-23,0,69,18,16,11,18,48,15,57,0
2023-02-24,0,73,20,18,10,23,51,20,53,0
2023-02-25,0,66,20,20,6,18,53,12,51,0
2023-02-26,0,66,19,16,5,25,52,13,49,0
2023-02-27,0,67,18,15,11,24,56,20,56,0
2023-02-28,0,70,21,15,10,23,47,19,53,0
2023-03-01,0,71,18,15,10,24,48,19,49,0
2023-03-02,0,68,22,14,10,20,42,19,51,0
2023-03-03,0,73,21,14,10,20,48,16,48,0
2023-03-04,0,66,23,14,6,21,50,14,47,0
2023-03-05,0,66,20,15,8,20,45,15,45,0
2023-03-06,0,72,18,13,11,22,46,21,48,0
2023-03-07,0,80,19,12,13,20,45,20,55,0
2023-03-08,0,82,19,15,11,22,48,21,51,0
2023-03-09,0,84,18,12,11,20,47,19,54,0
2023-03-10,0,87,20,14,9,21,47,20,55,0
2023-03-11,0,79,19,14,7,23,49,14,50,0
2023-03-12,0,76,16,14,7,21,50,14,48,0
2023-03-13,0,70,17,13,12,21,49,18,54,0
2023-03-14,0,75,17,13,12,20,46,21,57,0
2023-03-15,0,72,18,13,10,24,45,23,57,0
2023-03-16,0,71,19,16,11,20,46,18,52,0
2023-03-17,0,74,19,13,12,23,50,23,95,0
2023-03-18,0,74,18,16,6,22,49,13,47,0
2023-03-19,0,69,18,17,7,23,48,12,42,0
2023-03-20,0,70,21,15,10,24,49,12,52,0
2023-03-21,1,71,20,18,8,26,55,16,51,0
2023-03-22,0,67,20,16,10,22,50,17,52,0
2023-03-23,0,71,18,16,12,21,53,17,51,0
2023-03-24,0,78,22,16,11,22,50,20,89,0
2023-03-25,0,84,21,18,7,26,56,11,52,0
2023-03-26,0,76,20,16,6,21,58,14,43,0
2023-03-27,0,74,22,18,10,23,48,21,50,0
2023-03-28,0,76,21,15,10,25,52,20,52,0
2023-03-29,0,100,22,15,11,23,51,17,50,0
2023-03-30,0,80,23,18,11,23,51,16,52,0
2023-03-31,0,74,22,18,9,22,51,15,45,0
2023-04-01,1,74,22,18,6,27,52,10,46,0
2023-04-02,0,67,20,15,6,21,46,10,47,0
2023-04-03,0,75,20,18,11,26,51,17,52,0
2023-04-04,0,76,20,16,10,23,48,14,48,0
2023-04-05,0,76,20,17,9,22,47,14,46,0
2023-04-06,0,82,19,18,8,22,50,12,51,0
2023-04-07,0,82,21,18,6,23,50,8,44,0
2023-04-08,0,70,18,16,5,21,50,11,38,0
2023-04-09,0,71,19,14,4,23,49,9,40,0
2023-04-10,0,80,20,17,9,23,51,13,43,0
2023-04-11,0,77,19,15,12,23,51,18,51,0
2023-04-12,0,72,18,16,9,19,46,20,52,0
2023-04-13,0,69,18,14,11,21,52,26,91,0
2023-04-14,0,69,19,15,9,23,52,15,47,0
2023-04-15,0,70,18,17,7,23,56,10,42,0
2023-04-16,0,69,17,16,8,25,47,12,42,0
2023-04-17,0,69,20,15,11,21,44,18,52,0
2023-04-18,0,66,18,16,10,21,49,19,50,0
2023-04-19,0,72,20,14,9,19,45,20,50,0
2023-04-20,0,76,20,15,10,24,48,17,45,0
2023-04-21,0,72,19,13,9,21,43,17,43,0
2023-04-22,0,73,20,14,6,20,42,12,44,0
2023-04-23,0,74,20,15,7,20,51,12,45,0
2023-04-24,0,74,22,17,10,23,47,16,51,0
2023-04-25,0,76,21,17,10,22,44,17,47,0
2023-04-26,0,73,22,16,9,25,44,14,43,0
2023-04-27,0,72,28,19,6,21,48,12,41,0
2023-04-28,0,76,25,18,7,22,50,11,37,0
2023-04-29,0,79,24,15,5,22,48,10,45,0
2023-04-30,0,77,19,17,6,19,50,9,36,0
2023-05-01,0,73,23,16,6,23,48,21,85,0
2023-05-02,0,66,20,15,9,21,45,14,44,0
2023-05-03,0,69,19,13,10,18,38,13,43,0
2023-05-04,0,69,20,15,9,20,46,16,47,0
2023-05-05,0,78,22,15,8,18,52,13,43,0
2023-05-06,0,71,21,13,6,22,50,13,40,0
2023-05-07,0,62,18,14,7,24,45,11,42,0
2023-05-08,0,67,19,15,11,21,47,18,48,0
2023-05-09,0,68,20,13,10,23,45,16,45,0
