date,Online banking,Capitec Bank,Standard Bank,FNB (First National Bank),Nedbank,Loan,Investment app,trading platforms,mutual funds,stocks
2019-08-29,22,5,66,0,52,67,0,0,0,4
2019-08-30,29,6,100,0,58,62,0,0,0,0
2019-08-31,20,7,50,0,44,55,0,0,0,0
2019-09-01,20,5,41,0,31,53,0,0,0,0
2019-09-02,37,7,79,0,58,76,0,0,0,4
2019-09-03,35,7,70,0,52,77,0,0,0,0
2019-09-04,28,5,57,0,40,79,0,0,0,4
2019-09-05,30,5,57,0,45,74,0,0,0,5
2019-09-06,29,5,54,0,46,59,0,0,0,0
2019-09-07,16,5,37,0,30,44,0,0,0,0
2019-09-08,14,3,29,0,26,45,0,0,0,0
2019-09-09,29,6,60,0,46,72,0,0,0,4
2019-09-10,26,6,55,0,42,72,0,0,0,0
2019-09-11,28,6,57,0,38,69,0,0,0,0
2019-09-12,25,5,53,0,37,68,0,0,0,0
2019-09-13,32,5,56,0,44,67,0,0,0,0
2019-09-14,16,4,35,0,28,50,0,0,0,0
2019-09-15,13,4,30,0,19,47,0,0,0,0
2019-09-16,21,5,55,0,44,71,0,0,0,4
2019-09-17,18,6,55,0,40,76,0,0,0,0
2019-09-18,17,6,51,0,35,62,0,0,0,0
2019-09-19,20,5,51,0,38,59,0,0,0,0
2019-09-20,26,5,59,0,48,57,0,0,0,0
2019-09-21,14,4,34,0,25,47,0,0,0,0
2019-09-22,11,4,28,0,21,46,0,0,0,0
2019-09-23,20,7,57,0,58,76,0,0,0,3
2019-09-24,16,5,38,0,33,51,0,0,0,0
2019-09-25,33,7,78,0,61,66,0,0,0,4
2019-09-26,27,9,80,0,63,73,0,0,0,0
2019-09-27,28,9,74,0,56,64,0,0,0,0
2019-09-28,16,5,43,0,36,49,0,0,0,0
2019-09-29,14,6,34,0,29,48,0,0,0,0
2019-09-30,32,9,80,0,66,87,0,0,0,0
2019-10-01,26,9,76,0,58,80,0,0,0,0
2019-10-02,23,8,68,0,55,77,0,0,0,0
2019-10-03,21,8,64,0,52,84,0,0,0,0
2019-10-04,20,6,58,0,46,73,0,0,0,0
2019-10-05,12,6,37,0,33,51,0,0,0,4
2019-10-06,13,5,29,0,24,47,0,0,0,0
2019-10-07,24,6,61,0,50,79,0,0,0,4
2019-10-08,18,6,54,0,43,73,0,0,0,4
2019-10-09,17,7,49,0,39,69,0,0,0,3
2019-10-10,18,7,52,0,37,77,0,0,0,4
2019-10-11,21,6,52,0,40,65,0,0,0,0
2019-10-12,11,5,31,0,29,58,0,0,0,4
2019-10-13,9,5,24,0,19,44,0,0,0,0
2019-10-14,18,6,53,0,40,81,0,0,0,0
2019-10-15,23,6,55,0,45,78,0,0,0,0
2019-10-16,21,7,51,0,44,70,0,0,0,4
2019-10-17,21,6,51,0,42,71,0,0,0,0
2019-10-18,23,6,55,0,39,62,0,0,0,0
2019-10-19,10,4,29,0,27,43,0,0,0,0
2019-10-20,11,5,24,0,20,41,0,0,0,0
2019-10-21,19,5,50,0,37,77,0,0,0,4
2019-10-22,19,5,48,0,36,67,0,0,0,3
2019-10-23,20,5,46,0,39,65,0,0,0,0
2019-10-24,25,6,62,0,43,54,0,0,0,4
2019-10-25,33,12,74,0,54,67,0,0,0,0
2019-10-26,15,6,39,0,35,40,0,0,0,0
2019-10-27,11,5,30,0,23,47,0,0,0,0
2019-10-28,24,9,69,0,50,89,0,0,0,0
2019-10-29,27,7,66,0,53,84,0,0,0,6
2019-10-30,30,6,67,0,51,78,0,0,0,0
2019-10-31,34,9,76,0,55,84,0,0,0,4
2019-11-01,32,9,76,0,57,86,0,0,0,0
2019-11-02,17,4,37,0,29,49,0,0,0,0
2019-11-03,14,5,33,0,27,49,0,0,0,0
2019-11-04,32,8,69,1,54,89,0,0,0,0
2019-11-05,26,7,63,0,50,89,0,0,0,3
2019-11-06,25,7,56,0,44,80,0,0,0,4
2019-11-07,24,6,56,0,45,78,0,0,0,4
2019-11-08,24,6,57,0,45,62,0,0,0,0
2019-11-09,12,4,37,0,29,56,0,0,0,0
2019-11-10,9,4,29,0,19,42,0,0,0,0
2019-11-11,19,6,57,0,43,79,0,0,0,3
2019-11-12,19,6,55,0,42,73,0,0,0,3
2019-11-13,19,6,54,0,46,73,0,0,0,4
2019-11-14,16,5,52,0,42,73,0,0,0,0
2019-11-15,21,6,61,0,41,77,0,0,0,0
2019-11-16,14,5,39,0,31,54,0,0,0,0
2019-11-17,10,5,29,0,28,47,0,0,0,0
2019-11-18,19,7,59,0,43,79,0,0,0,4
2019-11-19,20,6,55,0,43,78,0,0,0,0
2019-11-20,18,7,59,0,45,63,0,0,0,3
2019-11-21,19,7,58,0,43,69,0,0,0,0
2019-11-22,21,7,60,0,46,64,0,0,0,6
2019-11-23,14,5,39,0,33,52,0,0,0,4
2019-11-24,12,3,31,0,23,40,0,0,0,4
2019-11-25,30,7,78,0,55,85,0,0,0,4
2019-11-26,27,6,72,0,54,75,0,0,0,0
2019-11-27,26,8,70,0,53,85,0,0,0,5
