date,We Buy Cars,AutoTrader,Toyota,BMW,Mercedes Benz,Cars for Sale,Hyundai,Volkswagen Polo,Cars,Renault Kiger
2019-07-26,13,16,55,50,18,28,31,0,78,0
2019-07-27,13,19,52,54,20,26,30,0,82,0
2019-07-28,12,19,53,52,17,31,28,0,96,0
2019-07-29,14,16,54,50,20,25,33,0,86,0
2019-07-30,13,13,54,46,16,24,31,0,77,0
2019-07-31,13,16,48,42,17,23,30,0,77,0
2019-08-01,13,15,48,45,16,26,31,2,77,0
2019-08-02,14,15,50,50,17,26,29,0,89,0
2019-08-03,13,17,49,52,18,26,24,0,80,0
2019-08-04,13,16,53,46,15,30,21,0,90,0
2019-08-05,15,17,54,46,17,26,30,0,85,0
2019-08-06,14,18,52,48,18,31,27,2,92,0
2019-08-07,15,13,52,42,17,27,27,0,83,0
2019-08-08,14,14,51,47,18,30,24,2,86,0
2019-08-09,15,17,52,50,19,29,27,0,88,0
2019-08-10,13,19,47,53,19,33,26,0,83,0
2019-08-11,12,17,48,46,17,29,24,0,87,0
2019-08-12,17,17,55,47,18,30,30,0,92,0
2019-08-13,15,17,49,48,18,31,29,0,91,0
2019-08-14,15,13,53,45,17,26,28,0,81,0
2019-08-15,15,16,52,44,18,27,27,0,81,0
2019-08-16,12,18,51,48,18,29,30,0,82,0
2019-08-17,15,15,49,53,18,29,27,0,81,0
2019-08-18,15,19,48,57,22,30,27,0,91,0
2019-08-19,16,19,47,53,19,30,34,0,91,0
2019-08-20,14,16,54,54,17,27,29,0,82,0
2019-08-21,15,16,53,56,17,30,32,0,85,0
2019-08-22,14,17,54,54,17,31,32,0,96,0
2019-08-23,14,16,52,58,19,28,28,2,88,0
2019-08-24,13,18,51,58,18,26,27,0,81,0
2019-08-25,15,18,49,63,16,32,24,0,91,0
2019-08-26,16,16,51,56,19,25,28,2,77,0
2019-08-27,15,15,52,54,16,28,27,0,82,0
2019-08-28,14,15,49,54,16,26,24,3,76,0
2019-08-29,13,15,53,56,16,24,25,0,78,0
2019-08-30,14,15,51,68,18,25,25,2,82,0
2019-08-31,13,16,47,81,19,28,21,0,78,0
2019-09-01,14,16,47,89,18,30,21,0,81,0
2019-09-02,13,15,45,71,15,27,24,0,75,0
2019-09-03,15,19,47,81,14,27,27,2,80,0
2019-09-04,13,16,50,84,14,24,25,0,77,0
2019-09-05,15,14,47,83,16,27,27,0,81,0
2019-09-06,13,15,46,86,16,27,25,0,77,0
2019-09-07,12,14,51,100,19,30,22,0,84,0
2019-09-08,18,19,47,94,15,29,25,2,93,0
2019-09-09,17,15,52,89,16,27,30,2,93,0
2019-09-10,16,19,51,92,17,27,35,2,89,0
2019-09-11,16,16,49,90,19,29,27,0,92,0
2019-09-12,15,15,48,97,18,29,27,0,84,0
2019-09-13,16,16,53,91,21,29,32,2,91,0
2019-09-14,13,15,47,96,19,29,31,0,89,0
2019-09-15,15,16,50,100,17,30,22,0,91,0
2019-09-16,18,21,55,88,18,25,32,2,89,0
2019-09-17,14,16,55,83,17,32,31,2,97,0
2019-09-18,15,16,47,90,16,27,30,2,88,0
2019-09-19,15,16,51,90,18,27,29,0,80,0
2019-09-20,11,13,53,89,16,25,25,0,77,0
2019-09-21,12,15,43,93,20,27,24,0,81,0
2019-09-22,13,16,48,95,17,31,23,0,83,0
2019-09-23,15,17,53,86,19,29,34,3,88,0
2019-09-24,13,20,52,94,19,32,27,0,88,0
2019-09-25,15,19,52,82,17,26,31,0,79,0
2019-09-26,14,16,54,84,17,26,33,0,76,0
2019-09-27,14,17,49,51,17,26,32,2,75,0
2019-09-28,12,16,47,49,16,24,24,0,79,0
2019-09-29,10,17,49,51,21,29,23,0,87,0
2019-09-30,14,16,49,45,18,25,26,0,78,0
2019-10-01,14,15,48,45,16,26,27,2,77,0
2019-10-02,12,16,49,48,19,27,27,0,80,0
2019-10-03,15,15,56,50,18,24,29,2,89,0
2019-10-04,13,13,50,48,16,24,28,0,77,0
2019-10-05,14,15,47,51,16,28,20,0,80,0
2019-10-06,13,19,52,50,21,33,26,0,91,0
2019-10-07,17,17,54,44,17,28,31,0,88,0
2019-10-08,15,14,51,45,19,30,29,2,92,0
2019-10-09,15,15,51,50,18,29,35,2,91,0
2019-10-10,15,16,50,45,18,27,35,3,90,0
2019-10-11,17,14,51,50,18,31,55,2,90,0
2019-10-12,14,17,51,59,19,30,64,0,90,0
2019-10-13,16,16,49,52,21,31,59,3,88,0
2019-10-14,16,17,49,46,17,29,55,2,91,0
2019-10-15,17,18,50,50,18,29,53,3,90,0
2019-10-16,17,17,48,50,17,25,47,2,83,0
2019-10-17,16,17,52,49,18,28,42,0,85,0
2019-10-18,16,17,52,54,20,27,45,0,84,0
2019-10-19,11,18,52,48,16,26,37,0,81,0
2019-10-20,11,16,39,47,15,26,28,0,77,0
2019-10-21,15,16,52,46,19,26,39,0,81,0
2019-10-22,16,15,54,46,18,29,37,2,90,0
2019-10-23,14,15,46,46,16,26,37,0,77,0
2019-10-24,14,14,44,50,16,24,37,0,81,0
2019-10-25,14,14,47,47,19,24,34,0,80,0
2019-10-26,12,14,42,57,16,24,33,0,75,0
2019-10-27,12,16,39,45,16,23,22,0,69,0
2019-10-28,15,15,49,45,16,25,31,0,78,0
2019-10-29,15,16,49,39,17,27,30,3,82,0
2019-10-30,14,18,48,43,17,24,28,2,75,0
2019-10-31,15,16,51,46,19,27,35,0,86,0
2019-11-01,15,15,44,46,17,24,28,0,77,0
2019-11-02,9,12,33,38,10,23,20,0,64,0
2019-11-03,13,15,42,44,15,29,28,2,81,0
2019-11-04,14,15,52,46,16,29,34,2,78,0
2019-11-05,16,17,46,43,18,27,31,2,86,0
2019-11-06,16,14,50,42,14,25,30,0,81,0
2019-11-07,16,16,46,43,19,25,33,0,80,0
2019-11-08,13,15,50,44,19,26,36,0,81,0
2019-11-09,15,17,45,51,16,25,26,0,85,0
2019-11-10,14,18,45,46,15,24,28,0,83,0
2019-11-11,18,16,48,50,18,27,35,0,87,0
2019-11-12,18,19,52,48,19,30,33,0,92,0
2019-11-13,17,17,53,41,19,29,32,0,93,0
2019-11-14,17,17,48,47,17,30,32,0,90,0
2019-11-15,14,17,51,51,19,28,33,3,84,0
2019-11-16,16,17,50,56,23,26,37,0,86,0
2019-11-17,13,19,47,50,19,30,31,0,87,0
2019-11-18,18,16,53,50,18,35,33,2,100,0
2019-11-19,17,19,53,50,18,27,35,2,96,0
2019-11-20,17,18,54,50,20,29,31,0,94,0
2019-11-21,19,17,54,48,17,31,36,2,96,0
2019-11-22,17,17,50,47,19,25,31,2,85,0
2019-11-23,13,20,49,52,20,28,28,0,85,0
2019-11-24,14,21,48,48,19,30,30,0,81,0
2019-11-25,18,15,49,45,20,26,33,0,89,0
2019-11-26,14,17,47,48,17,25,28,0,71,0
2019-11-27,15,14,48,46,17,23,30,0,75,0
2019-11-28,12,14,43,42,15,21,26,3,70,0
2019-11-29,13,14,41,39,15,19,23,2,66,0
2019-11-30,13,13,42,46,17,24,23,0,74,0
2019-12-01,14,16,42,43,17,27,24,0,77,0
2019-12-02,16,16,47,45,17,25,27,0,82,0
2019-12-03,14,18,48,44,17,25,30,0,75,0
2019-12-04,17,19,46,47,17,32,32,0,92,0
2019-12-05,14,16,52,47,18,26,34,0,81,0
2019-12-06,15,15,45,44,16,26,30,0,81,0
2019-12-07,14,17,46,46,15,25,31,0,79,0
2019-12-08,16,17,44,47,18,30,24,0,87,0
2019-12-09,18,14,52,41,20,28,30,0,89,0
2019-12-10,17,16,44,44,17,25,31,0,80,0
2019-12-11,17,17,50,45,20,23,31,2,78,0
2019-12-12,19,16,52,48,17,27,36,0,88,0
2019-12-13,14,14,45,46,17,24,34,0,77,0
2019-12-14,14,20,47,50,17,28,31,0,78,0
2019-12-15,15,14,44,44,16,26,27,0,78,0
2019-12-16,16,15,46,47,19,26,31,0,85,0
2019-12-17,19,16,51,50,19,24,36,2,87,0
2019-12-18,19,17,49,49,20,27,31,0,87,0
2019-12-19,17,17,51,49,19,28,34,0,83,0
2019-12-20,15,17,48,44,17,23,29,3,75,0
2019-12-21,13,11,43,44,16,24,31,0,75,0
2019-12-22,14,16,43,43,18,25,30,0,73,0
2019-12-23,18,15,53,50,20,23,37,0,84,0
2019-12-24,12,13,48,54,20,25,31,0,74,0
2019-12-25,11,16,42,46,18,23,25,0,75,0
2019-12-26,14,15,41,48,18,28,27,0,78,0
2019-12-27,17,14,54,50,22,27,33,0,84,0
2019-12-28,16,20,46,48,19,29,31,0,89,0
2019-12-29,14,19,46,51,19,29,28,4,87,0
2019-12-30,19,19,54,52,22,30,32,0,93,0
2019-12-31,13,13,46,42,17,25,24,0,78,0
2020-01-01,11,15,41,44,15,24,27,0,72,0
2020-01-02,35,32,88,78,35,31,30,0,94,0
2020-01-03,31,31,77,79,31,28,32,2,88,0
2020-01-04,25,25,69,84,32,26,26,0,81,0
2020-01-05,26,29,79,79,33,31,26,0,83,0
2020-01-06,31,29,78,71,32,29,29,0,93,0
