date,PS5 games,Powerball,Xbox games,video games,Mobile app,Genshin Impact,Lotto,Game,Betfred
2019-11-08,0,46,1,0,1,0,48,10,0
2019-11-09,0,57,1,0,0,0,76,13,0
2019-11-10,0,22,1,0,0,0,72,12,0
2019-11-11,0,22,0,0,0,0,50,9,0
2019-11-12,0,43,1,0,0,0,50,9,0
2019-11-13,0,51,0,0,0,0,69,11,0
2019-11-14,0,21,0,0,0,0,65,10,0
2019-11-15,0,45,0,0,0,0,45,11,0
2019-11-16,0,59,0,0,0,0,81,13,0
2019-11-17,0,22,1,0,0,0,79,13,0
2019-11-18,0,20,1,0,0,0,49,10,0
2019-11-19,0,49,1,0,0,0,55,12,0
2019-11-20,0,56,1,0,0,0,66,11,0
2019-11-21,0,23,1,0,0,0,68,12,0
2019-11-22,0,54,1,0,0,0,48,13,0
2019-11-23,0,66,1,0,0,0,79,15,0
2019-11-24,0,25,1,0,0,0,74,14,0
2019-11-25,0,19,1,0,0,0,50,14,0
2019-11-26,0,55,1,0,0,0,51,13,0
2019-11-27,0,65,1,0,0,0,73,16,0
2019-11-28,0,21,1,0,0,0,62,18,0
2019-11-29,0,45,2,0,0,0,44,24,0
2019-11-30,0,51,1,0,0,0,80,16,0
2019-12-01,0,24,2,0,0,0,81,14,0
2019-12-02,0,19,1,0,0,0,51,13,0
2019-12-03,0,43,1,0,0,0,51,12,0
2019-12-04,0,45,1,0,0,0,63,12,0
2019-12-05,0,19,1,0,0,0,68,12,0
2019-12-06,0,45,1,0,0,0,47,12,0
2019-12-07,0,50,1,0,0,0,74,14,0
2019-12-08,0,23,1,0,0,0,76,12,0
2019-12-09,0,17,1,0,0,0,48,12,0
2019-12-10,0,36,0,0,0,0,47,11,0
2019-12-11,0,45,1,0,0,0,65,13,0
2019-12-12,0,18,1,0,0,0,67,12,0
2019-12-13,0,40,1,0,0,0,45,13,0
2019-12-14,0,43,1,0,0,0,79,14,0
2019-12-15,0,21,1,0,0,0,78,15,0
2019-12-16,0,19,1,0,0,0,53,16,0
2019-12-17,0,41,1,0,0,0,50,13,0
2019-12-18,0,40,1,0,0,0,66,14,0
2019-12-19,0,19,1,0,0,0,67,14,0
2019-12-20,0,49,1,0,0,0,49,16,0
2019-12-21,0,50,1,0,0,0,77,14,0
2019-12-22,0,21,2,0,0,0,74,16,0
2019-12-23,0,19,1,0,0,0,58,16,0
2019-12-24,0,39,1,0,0,0,56,16,0
2019-12-25,0,48,1,0,0,0,60,19,0
2019-12-26,0,24,1,0,0,0,56,15,0
2019-12-27,0,47,1,0,0,0,49,15,0
2019-12-28,0,47,1,0,0,0,80,15,0
2019-12-29,0,20,1,1,0,0,75,13,0
2019-12-30,0,18,1,0,0,0,55,15,0
2019-12-31,0,43,1,0,0,0,53,14,0
2020-01-01,0,45,1,0,0,0,61,15,0
2020-01-02,0,35,1,0,0,0,63,15,0
2020-01-03,0,61,1,0,0,0,49,16,0
2020-01-04,0,63,1,0,0,0,79,14,0
2020-01-05,0,26,1,1,0,0,82,14,0
2020-01-06,0,20,1,0,0,0,52,11,0
2020-01-07,0,50,1,0,0,0,52,12,0
2020-01-08,0,52,1,0,0,0,64,11,0
2020-01-09,0,25,1,0,0,0,70,11,0
2020-01-10,0,56,1,0,0,0,56,12,0
2020-01-11,0,64,1,0,0,0,87,13,0
2020-01-12,0,25,1,0,0,0,80,11,0
2020-01-13,0,20,1,0,0,0,49,10,0
2020-01-14,0,48,0,0,0,0,50,10,0
2020-01-15,0,51,1,0,0,0,68,9,0
2020-01-16,0,25,0,0,0,0,67,10,0
2020-01-17,0,58,1,0,0,0,48,11,0
2020-01-18,0,61,1,0,0,0,78,14,0
2020-01-19,0,25,0,0,0,0,78,11,0
2020-01-20,0,20,0,0,0,0,50,9,0
2020-01-21,0,50,1,0,0,0,53,10,0
2020-01-22,0,55,0,0,0,0,68,9,0
2020-01-23,0,23,0,0,0,0,67,9,0
2020-01-24,1,61,0,0,0,0,47,10,0
2020-01-25,0,67,1,0,0,0,87,15,0
2020-01-26,0,27,0,0,0,0,79,11,0
2020-01-27,0,24,0,0,0,0,54,9,0
2020-01-28,0,65,1,0,0,0,60,10,0
2020-01-29,0,68,0,0,0,0,75,10,0
2020-01-30,0,28,0,0,0,0,73,10,0
2020-01-31,0,82,1,0,0,0,55,12,0
2020-02-01,0,93,1,0,0,0,88,13,0
2020-02-02,0,35,0,0,0,0,87,11,0
2020-02-03,0,33,0,0,0,0,59,9,0
2020-02-04,0,80,0,0,0,0,66,10,0
2020-02-05,0,100,0,0,0,0,81,9,0
